issues,status,notes,id,category,brand,model,version,powertrain,fuel,year,price_eur,price_source,power_kw,power_cv,consumption_l_100km,consumption_kg_100km,consumption_kwh_100km,battery_kwh,range_wltp_km,emissions_g_km,image_url,source_url,motornet_detail_url
tutto ok,,,motornet_fa995a4edb60ee,electric,Abarth,500e 42 kWh,Abarth 500e 42 kWh,Abarth 500e 42 kWh,elettrica,,34400.0,motornet_prezzo_di_listino,47.0,64.0,,,17.2,42.0,264.0,,assets/cars/motornet/motornet_fa995a4edb60ee.jpg,https://www.motornet.it/auto/scheda-modello/modello/2453/allestimento/ABA0337,https://www.motornet.it/auto/scheda-modello/modello/2453/allestimento/ABA0337
tutto ok,,,motornet_a24799da553191,electric,Abarth,500e 42 kWh Turismo,Abarth 500e 42 kWh Turismo,Abarth 500e 42 kWh Turismo,elettrica,,38900.0,motornet_prezzo_di_listino,47.0,64.0,,,18.1,42.0,253.0,,assets/cars/motornet/motornet_a24799da553191.jpg,https://www.motornet.it/auto/scheda-modello/modello/2453/allestimento/ABA0338,https://www.motornet.it/auto/scheda-modello/modello/2453/allestimento/ABA0338
tutto ok,,,motornet_2fe4d685b00d79,electric,Abarth,500e Cabrio 42 kWh,Abarth 500e Cabrio 42 kWh,Abarth 500e Cabrio 42 kWh,elettrica,,37400.0,motornet_prezzo_di_listino,47.0,64.0,,,17.9,42.0,254.0,,assets/cars/motornet/motornet_2fe4d685b00d79.jpg,https://www.motornet.it/auto/scheda-modello/modello/2454/allestimento/ABA0339,https://www.motornet.it/auto/scheda-modello/modello/2454/allestimento/ABA0339
tutto ok,,,motornet_3628fe987af176,electric,Abarth,500e Cabrio 42 kWh Turismo,Abarth 500e Cabrio 42 kWh Turismo,Abarth 500e Cabrio 42 kWh Turismo,elettrica,,41900.0,motornet_prezzo_di_listino,47.0,64.0,,,18.8,42.0,242.0,,assets/cars/motornet/motornet_3628fe987af176.jpg,https://www.motornet.it/auto/scheda-modello/modello/2454/allestimento/ABA0340,https://www.motornet.it/auto/scheda-modello/modello/2454/allestimento/ABA0340
tutto ok,,,motornet_09ddd17c1cff06,electric,Abarth,600e 54kWh Competizione Edizione Milano Cortina 2026,Abarth 600e 54kWh Competizione Edizione Milano Cortina 2026,Abarth 600e 54kWh Competizione Edizione Milano Cortina 2026,elettrica,,46250.0,motornet_prezzo_di_listino,105.0,143.0,,,18.7,54.0,321.0,,assets/cars/motornet/motornet_09ddd17c1cff06.jpg,https://www.motornet.it/auto/scheda-modello/modello/2680/allestimento/ABA0348,https://www.motornet.it/auto/scheda-modello/modello/2680/allestimento/ABA0348
tutto ok,,,motornet_27d878eece7665,electric,Abarth,600e 54kWh Turismo,Abarth 600e 54kWh Turismo,Abarth 600e 54kWh Turismo,elettrica,,42250.0,motornet_prezzo_di_listino,105.0,143.0,,,18.6,54.0,322.0,,assets/cars/motornet/motornet_27d878eece7665.jpg,https://www.motornet.it/auto/scheda-modello/modello/2680/allestimento/ABA0344,https://www.motornet.it/auto/scheda-modello/modello/2680/allestimento/ABA0344
tutto ok,,,motornet_e5e1f9f75b77e3,thermal,Alfa Romeo,Giulia 2.9 V6 520cv Quadrifoglio AT8,Alfa Romeo Giulia 2.9 V6 520cv Quadrifoglio AT8,Alfa Romeo Giulia 2.9 V6 520cv Quadrifoglio AT8,benzina,,102800.0,motornet_prezzo_di_listino,382.0,520.0,10.1,,,,,228.0,assets/cars/motornet/motornet_e5e1f9f75b77e3.jpg,https://www.motornet.it/auto/scheda-modello/modello/2213/allestimento/ALF7172,https://www.motornet.it/auto/scheda-modello/modello/2213/allestimento/ALF7172
tutto ok,,,motornet_dcdfb4cdb31e70,thermal,Alfa Romeo,Giulia 2.2 Turbo 160cv Sprint AT8,Alfa Romeo Giulia 2.2 Turbo 160cv Sprint AT8,Alfa Romeo Giulia 2.2 Turbo 160cv Sprint AT8,diesel,,52750.0,motornet_prezzo_di_listino,118.0,160.0,5.0,,,,,132.0,assets/cars/motornet/motornet_dcdfb4cdb31e70.jpg,https://www.motornet.it/auto/scheda-modello/modello/2213/allestimento/ALF7148,https://www.motornet.it/auto/scheda-modello/modello/2213/allestimento/ALF7148
tutto ok,,,motornet_8eb457426cb8da,thermal,Alfa Romeo,Giulia 2.2 Turbo 210cv Sprint Q4 AT8,Alfa Romeo Giulia 2.2 Turbo 210cv Sprint Q4 AT8,Alfa Romeo Giulia 2.2 Turbo 210cv Sprint Q4 AT8,diesel,,57750.0,motornet_prezzo_di_listino,155.0,210.0,5.5,,,,,144.0,assets/cars/motornet/motornet_8eb457426cb8da.jpg,https://www.motornet.it/auto/scheda-modello/modello/2213/allestimento/ALF7174,https://www.motornet.it/auto/scheda-modello/modello/2213/allestimento/ALF7174
tutto ok,,,motornet_f45cf30484ded2,thermal,Alfa Romeo,Giulia 2.2 Turbo 160cv Veloce AT8,Alfa Romeo Giulia 2.2 Turbo 160cv Veloce AT8,Alfa Romeo Giulia 2.2 Turbo 160cv Veloce AT8,diesel,,58250.0,motornet_prezzo_di_listino,118.0,160.0,5.2,,,,,137.0,assets/cars/motornet/motornet_f45cf30484ded2.jpg,https://www.motornet.it/auto/scheda-modello/modello/2213/allestimento/ALF7150,https://www.motornet.it/auto/scheda-modello/modello/2213/allestimento/ALF7150
