issues,status,notes,id,category,brand,model,version,powertrain,fuel,year,price_eur,price_source,power_kw,power_cv,consumption_l_100km,consumption_kg_100km,consumption_kwh_100km,battery_kwh,range_wltp_km,emissions_g_km,image_url,source_url,motornet_detail_url
too high prezzo: 1.01766e+06 EUR > 1e+06,,,motornet_cdcc3fb93578a3,thermal,Aston Martin,Valhalla V8 Twin Turbo DCT,Aston Martin Valhalla V8 Twin Turbo DCT,Aston Martin Valhalla V8 Twin Turbo DCT,ibrida_benzina,,1017656.0,motornet_prezzo_di_listino,609.0,828.0,17.5,,,,,378.0,assets/cars/motornet/motornet_cdcc3fb93578a3.jpg,https://www.motornet.it/auto/scheda-modello/modello/2704/allestimento/AST0502,https://www.motornet.it/auto/scheda-modello/modello/2704/allestimento/AST0502
too high emissioni CO2: 515 g/km > 500,,,motornet_54f6bfd0ae7636,thermal,Chevrolet,Suburban 6.2 V8 V8 EcoTec3 425cv High Country 4WD,Chevrolet Suburban 6.2 V8 V8 EcoTec3 425cv High Country 4WD,Chevrolet Suburban 6.2 V8 V8 EcoTec3 425cv High Country 4WD,benzina,,115804.0,motornet_prezzo_di_listino,313.0,425.0,14.7,,,,,515.0,assets/cars/motornet/motornet_54f6bfd0ae7636.jpg,https://www.motornet.it/auto/scheda-modello/modello/2434/allestimento/CHC1038,https://www.motornet.it/auto/scheda-modello/modello/2434/allestimento/CHC1038
too high emissioni CO2: 522 g/km > 500,,,motornet_6a60565431067b,thermal,Chevrolet,Silverado Crew Cab 6.2 V8 EcoTec3 420cv High Country AWD,Chevrolet Silverado Crew Cab 6.2 V8 EcoTec3 420cv High Country AWD,Chevrolet Silverado Crew Cab 6.2 V8 EcoTec3 420cv High Country AWD,benzina,,100101.0,motornet_prezzo_di_listino,309.0,420.0,13.8,,,,,522.0,assets/cars/motornet/motornet_6a60565431067b.jpg,https://www.motornet.it/auto/scheda-modello/modello/2166/allestimento/CHC1039,https://www.motornet.it/auto/scheda-modello/modello/2166/allestimento/CHC1039
too high consumo termico: 100 l/100 km > 30,,,motornet_3b165669db64f3,thermal,Chevrolet,Silverado Crew Cab 6.2 V8 BiFuel 420cv High Country AWD Auto,Chevrolet Silverado Crew Cab 6.2 V8 BiFuel 420cv High Country AWD Auto,Chevrolet Silverado Crew Cab 6.2 V8 BiFuel 420cv High Country AWD Auto,gpl,,105591.0,motornet_prezzo_di_listino,309.0,420.0,100.0,,,,,320.0,assets/cars/motornet/motornet_3b165669db64f3.jpg,https://www.motornet.it/auto/scheda-modello/modello/2166/allestimento/CHC1042,https://www.motornet.it/auto/scheda-modello/modello/2166/allestimento/CHC1042
too high consumo termico: 100 l/100 km > 30,,,motornet_41a8dd902f521a,thermal,Chevrolet,Silverado Crew Cab 6.2 V8 BiFuel 420cv Trail Boss AWD Auto,Chevrolet Silverado Crew Cab 6.2 V8 BiFuel 420cv Trail Boss AWD Auto,Chevrolet Silverado Crew Cab 6.2 V8 BiFuel 420cv Trail Boss AWD Auto,gpl,,100711.0,motornet_prezzo_di_listino,309.0,420.0,100.0,,,,,320.0,assets/cars/motornet/motornet_41a8dd902f521a.jpg,https://www.motornet.it/auto/scheda-modello/modello/2166/allestimento/CHC1027,https://www.motornet.it/auto/scheda-modello/modello/2166/allestimento/CHC1027
too high consumo termico: 100 l/100 km > 30,,,motornet_ea6967bb0890d3,thermal,Chevrolet,Silverado Crew Cab 6.2 V8 BiFuel 420cv ZR2 AWD Auto,Chevrolet Silverado Crew Cab 6.2 V8 BiFuel 420cv ZR2 AWD Auto,Chevrolet Silverado Crew Cab 6.2 V8 BiFuel 420cv ZR2 AWD Auto,gpl,,112911.0,motornet_prezzo_di_listino,309.0,420.0,100.0,,,,,320.0,assets/cars/motornet/motornet_ea6967bb0890d3.jpg,https://www.motornet.it/auto/scheda-modello/modello/2166/allestimento/CHC1041,https://www.motornet.it/auto/scheda-modello/modello/2166/allestimento/CHC1041
too high emissioni CO2: 1685 g/km > 500,,,motornet_102e12c932ab1c,thermal,Cirelli Motor Company,5 1.5 177cv Cross DCT,Cirelli Motor Company 5 1.5 177cv Cross DCT,Cirelli Motor Company 5 1.5 177cv Cross DCT,benzina,,32900.0,motornet_prezzo_di_listino,130.0,177.0,7.2,,,,,1685.0,assets/cars/motornet/motornet_102e12c932ab1c.jpg,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0078,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0078
too high emissioni CO2: 1685 g/km > 500,,,motornet_15e9637e91d283,thermal,Cirelli Motor Company,5 1.5 177cv Premium DCT,Cirelli Motor Company 5 1.5 177cv Premium DCT,Cirelli Motor Company 5 1.5 177cv Premium DCT,benzina,,29900.0,motornet_prezzo_di_listino,130.0,177.0,7.2,,,,,1685.0,assets/cars/motornet/motornet_15e9637e91d283.jpg,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0048,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0048
too high emissioni CO2: 1685 g/km > 500,,,motornet_5c2fe8a940d61c,thermal,Cirelli Motor Company,5 1.5 177cv Cross DCT,Cirelli Motor Company 5 1.5 177cv Cross DCT,Cirelli Motor Company 5 1.5 177cv Cross DCT,gpl,,34900.0,motornet_prezzo_di_listino,130.0,177.0,7.2,,,,,1685.0,assets/cars/motornet/motornet_5c2fe8a940d61c.jpg,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0085,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0085
too high emissioni CO2: 1685 g/km > 500,,,motornet_98570ede193066,thermal,Cirelli Motor Company,5 1.5 177cv Premium DCT,Cirelli Motor Company 5 1.5 177cv Premium DCT,Cirelli Motor Company 5 1.5 177cv Premium DCT,gpl,,31900.0,motornet_prezzo_di_listino,130.0,177.0,7.2,,,,,1685.0,assets/cars/motornet/motornet_98570ede193066.jpg,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0058,https://www.motornet.it/auto/scheda-modello/modello/2544/allestimento/CIR0058
